SITE,PLATAFORMA,E-BIT,RECLAME AQUI
loja18.com.br,,Não,Não
palank.com.br,,Não,Não
webmaniabr.com,,Não,Não
primeirospassosmagento.wordpress.com,magento,Não,Não
grandeadega.com.br,vtex,Sim,Não
toquepop.com.br,shopify,Não,Não
enviou.com.br,vtex,Não,Não
esale.com.br,magento,Não,Não
escoladebalonismo.com,magento,Não,Não
novitec.net.br,linx,Não,Não
nexxarimoveis.wordpress.com,,Não,Não
loja4bio.com.br,magento,Sim,Não
paghiper.com,vtex,Não,Não
tintasul.com.br,,Não,Não
mercadaodafe.com,nuvemshop,Não,Não
sheikbarber.com.br,jetecommerce,Não,Não
lojarocha.com.br,nuvemshop,Não,Não
rbcopiadora.com.br,jetecommerce,Não,Não
vencedordigital.com,linx,Não,Não
lindabela.com.br,tray,Não,Não
villapano.com.br,nuvemshop,Não,Não
selariacampolina.com.br,magento,Não,Não
angelfoto.com.br,tray,Não,Não
avantiquimica.com.br,,Não,Não
eduardconforto.com.br,,Não,Não
candelavelas.com.br,jetecommerce,Não,Não
ohsolucoes.com.br,magento,Não,Não
avemaria.com.br,,Não,Não
lightningbolt-usa.com,magento,Não,Não
drogariacristal.com,magento,Não,Não
lojaperfumo.com,nuvemshop,Não,Não
3irmas.com,jetecommerce,Não,Não
babycherie.com.br,magento,Não,Não
studioarqcasa.com.br,jetecommerce,Não,Não
bacalhoa.pt,magento,Não,Não
storeguette.com,jetecommerce,Não,Não
seaway.com.br,,Não,Não
etiquetasdivertidas.com.br,magento,Não,Não
americanbrasil.com.br,magento,Não,Não
roupasparaciclismo.com,magento,Não,Não
petitpapillon.com.br,magento,Não,Não
meutravesseiro.com,magento,Sim,Não
mundomaior.com.br,magento,Não,Não
semobstaculos.pt,linx,Não,Não
cantonsports.com.br,jetecommerce,Não,Não
jgoulart.adv.br,,Não,Não
paulodevilhena.com,shopify,Não,Não
somosrb.com.br,jetecommerce,Não,Não
multimapas.com.br,vtex,Não,Não
edifier.com.br,magento,Sim,Não
karlaluz.com,,Não,Não
todolivro.com.br,magento,Sim,Não
metalhorse.com.br,magento,Não,Não
torredebebel.com.br,,Não,Não
speedmassage.com.br,,Não,Não
adrianak.com.br,jetecommerce,Não,Não
lareiras.com.br,magento,Sim,Não
koralle.com.br,magento,Não,Não
wisetime.com.br,shopify,Não,Não
verdelimaomodapraia.com.br,magento,Não,Não
taglab.com.br,magento,Não,Não
tkmarinho.com,jetecommerce,Não,Não
acasadoartista.com.br,magento,Não,Não
usare.com.br,magento,Não,Não
rbsuprimentos.com.br,jetecommerce,Não,Não
romapneus.com.br,magento,Não,Não
arcacenter.com.br,magento,Não,Não
costaneira.com.br,magento,Não,Não
layart.com.br,vtex,Não,Não
bstoys.com.br,,Não,Não
biovip.pt,magento,Não,Não
casado.com.br,jetecommerce,Sim,Não
aspenjalecos.com.br,jetecommerce,Não,Não
ifthenpay.com,shopify,Não,Não
goyaperfumaria.com.br,magento,Não,Não
floresnaweb.com,,Não,Não
danashe.com.br,magento,Não,Não
meuespelho.com.br,magento,Não,Não
tifast.com.br,magento,Não,Não
leitorgospel.com.br,magento,Não,Não
casasimoes.com.br,magento,Não,Não
abcofficemoveis.com.br,tray,Não,Não
bodyglove.com.br,magento,Não,Não
casadascordas.com.br,magento,Não,Não
majeste.com.br,magento,Não,Não
sensualle.com.br,magento,Não,Não
mei.pt,magento,Não,Não
funeart.com.br,,Não,Não
anjosado.com.br,magento,Não,Não
lojavirtualeffamotors.com,magento,Não,Não
anastec.com.br,,Não,Não
kiddo.com.br,,Não,Não
alternativepc.com.br,magento,Não,Não
lojasvirtuaiscorporativas.com.br,magento,Não,Não
procomputer.com.br,,Sim,Não
anabely.com.br,magento,Não,Não
integracursos.com.br,shopify,Não,Não
suzucar.com.br,magento,Não,Não
worldtech.com.br,magento,Não,Não
artisan.arq.br,,Não,Não
bezimgems.com.br,magento,Não,Não
vivastore.com.br,magento,Não,Não
portodesign.com.br,magento,Não,Não
itenis.com.br,magento,Não,Não
magicnails.com.br,magento,Não,Não
itoner.com.br,,Não,Não
lyfetaste.pt,magento,Não,Não
daguapurificadores.com.br,,Não,Não
aosegundo.pt,magento,Não,Não
prr.services,,Não,Não
psicoteste-es.com.br,jetecommerce,Não,Não
posturarte.com,magento,Não,Não
brasmarketonline.com,magento,Não,Não
hostphd.com.br,,Não,Não
forzapalestrina.com.br,,Não,Não
ggames.com.br,tray,Não,Não
pinkpoashop.com.br,jetecommerce,Não,Não
comandoadistancia.com,magento,Não,Não
levive.com.br,jetecommerce,Não,Não
clevocenter.com,magento,Não,Não
dominik.com.br,magento,Não,Não
matrizdasessencias.com.br,magento,Não,Não
velhiquario.com.br,magento,Não,Não
profivest.pt,magento,Não,Não
aguassaude.com.br,,Não,Não
bocadinho.com.br,magento,Não,Não
pmsi-net.com,,Não,Não
andarefit.com,,Não,Não
reiman.pt,magento,Não,Não
prodmed.com.br,magento,Não,Não
blend.pt,,Não,Não
incasautilidades.com,,Não,Não
rioclarense.com.br,jetecommerce,Não,Não
internacionalferramentas.com.br,,Não,Não
lardosfiltrosepurificadoresdeagua.com,vtex,Não,Não
geracaolivre.com.br,jetecommerce,Não,Não
solidsecurity.pt,magento,Não,Não
aloma.com.br,magento,Não,Não
mass-perfumarias.pt,magento,Não,Não
closetcare.com.br,magento,Não,Não
b2com.com.br,magento,Não,Não
bellalunaaromas.com.br,magento,Não,Não
hotdogstore.com.br,,Não,Não
autopec.com.br,magento,Não,Não
rami.com.br,magento,Não,Não
basico3.com.br,,Não,Não
malasmundi.com.br,,Não,Não
protechnik.com.br,,Não,Não
radioval.com.br,,Não,Não
itagold.com.br,magento,Não,Não
selvvva.com,jetecommerce,Não,Não
